APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
Y,21142,26,1,0,V3M6V8,1,1,194.3575,127.4566667,390.4641667,720.61,237.105,,0,0,0.166666667,40.08333333,74.41666667,1.833333333,11.58333333,0,4.4,-1,-1,D,1020,,,31328.43137,1968.571429
N,21155,42,1,0,V2V2H4,1,1,573.39,1203.639167,1899.429167,6231.880833,2856.585,158491.9108,0,0,0.666666667,17.58333333,23.75,6.166666667,3.416666667,0,6,0,0,A,540,180,603,27418.51852,3140
N,21208,37,1,0,V3B7R9,1,1,684.7425,36.0075,775.465,,0,,0,0,0.333333333,3.583333333,20.75,3.083333333,4.416666667,0,4,0,0,D,900,400,1804,31255.55556,4391.549296
Y,21242,53,1,0,V5T4R6,1,0,3269.841667,19431.49583,28187.87833,,32584.78417,,0,0,7.166666667,0.083333333,1.75,10.16666667,3.5,0,4,0,-1,C,550,230,1110,26040,2503.846154
Y,21245,39,0,1,V3Y1C5,1,0,1918.785833,530.3166667,2691.1575,,11946.14583,95444.87917,0,0,0.5,11,38.41666667,9,9.666666667,0,5,0,0,B,7610,3030,12833,32986.72799,2277.022654
Y,21287,26,0,1,V5W1G2,1,1,2872.729167,0,2927.471667,,0,,1,0,1.75,3.416666667,0.25,0.75,7.5,0,4,0,1,D,1090,410,1736,25647.70642,2226
Y,21392,28,0,1,V3J4H6,1,1,15201.63333,7.949166667,17262.425,,0,201314.404,1,1,1.083333333,5.916666667,24.66666667,3.416666667,0.166666667,0,4,2,2,D,630,250,972,29282.53968,2748.148148
Y,21398,42,0,1,V5B3C5,1,0,0,484.5283333,613.9233333,,16495.30333,133855.1825,0,0,0,4,0,0,1.166666667,0,5,0,0,D,730,310,1344,27343.83562,4222.44898
Y,21418,25,0,1,V2V4H9,1,0,36.68083333,86.0025,179.4458333,7768.359167,168.6533333,,0,0,1.083333333,10.58333333,49.16666667,1.166666667,0,0,5,0,0,D,430,,,25660.46512,4911.111111
Y,21438,47,0,1,V3W8W9,1,1,2839.669167,1072.154167,3983.858333,,1943.805,,1,0,1.583333333,6.166666667,12.91666667,4.583333333,4.833333333,0,3.2,1,1,D,960,300,1237,26670.83333,1567.741936
Y,21455,50,0,1,V4A2P2,0,0,19032.77083,0,31062.12167,,0,145212.1617,0,0,3.083333333,0,0,1,0.083333333,0,5.6,1,5,D,480,200,1026,41414.58333,3791.666667
Y,21489,42,0,1,V3B7R6,1,1,507.7775,2041.468333,2639.913333,10705.875,9914.948333,104698.1717,0,0,0.583333333,6.083333333,35.83333333,1.583333333,24.91666667,0,6,0,1,A,780,390,1832,33747.4359,2347.058824
Y,21514,57,0,1,V6G1H1,1,0,44.575,9.78,108.5625,,1966.51,,1,0,0.166666667,1.083333333,1.25,0.25,0,0,3.2,1,1,E,390,140,580,28658.97436,2450
N,21521,38,1,0,V6N2W1,1,1,373.9908333,1642.829167,2071.2025,5929.535,501.4183333,,0,0,9,5.083333333,30.25,2.5,0,0,4.6,1,3,D,550,250,1995,63105.45455,9336
Y,21567,50,0,1,V5V1B1,1,0,3319.550833,1005.994167,4424.1075,,0,,0,0,3.833333333,5.416666667,16.08333333,5.333333333,4,0,4,0,0,D,640,270,1158,24410.9375,2431.25
Y,21570,55,0,1,V2V2P7,1,1,4191.4725,435.1141667,4682.389167,17072.89,0,,0,0,3.833333333,5.916666667,13.25,5.083333333,0,0,4,0,-1,C,450,150,446,27048.88889,1369.230769
